bin,start_delta_index,end_delta_index,dx_mean_abs_delta,dy_mean_abs_delta,dz_mean_abs_delta,droll_mean_abs_delta,dpitch_mean_abs_delta,dyaw_mean_abs_delta,gripper_mean_abs_delta
83,444256,449609,0.05322004272901529,0.043647039068719494,0.052547078575352756,0.09202358032729224,0.06886520004554537,0.07363311508423728,0.05753782925462358
84,449609,454961,0.048638783694056664,0.04835803738380154,0.054335358186395205,0.0877676476245217,0.06919628681515437,0.06762644552867185,0.05455904334828102
85,454961,460314,0.03508777953649486,0.03131272767357664,0.035878787856112246,0.056827458701906225,0.04514774150957495,0.051485188971830124,0.04595553895012143
86,460314,465666,0.032187394764820895,0.03529041255046752,0.03921496131539088,0.06548283927444537,0.04831368815452402,0.053197648630961075,0.044095665171898356
87,465666,471019,0.03276788984724799,0.033268463951525516,0.037409775127333525,0.05936306450962161,0.0459548633082346,0.05088919208768201,0.04707640575378293
88,471019,476371,0.03433980768976135,0.03380565429305465,0.03877871902015684,0.05540253639762486,0.04402027000046623,0.046221293639958784,0.045216741405082216
89,476371,481724,0.034533950074604504,0.03680041881870934,0.041653303083712595,0.06767085288420376,0.050081244033010584,0.055418928796096584,0.04707640575378293
90,481724,487076,0.03627609570151303,0.03600233055414572,0.04074359970931804,0.06978911087150218,0.05074244294486947,0.05467421025550911,0.04932735426008968
91,487076,492429,0.033065408340756136,0.0337562952134515,0.04039727471396025,0.06516845983375738,0.0486793842558675,0.05291041537181817,0.05118625070054175
92,492429,497781,0.03813947271518684,0.037253504919657635,0.04301777841058698,0.07014695062650861,0.049531555605673974,0.0561782255298525,0.054185351270553066
93,497781,503134,0.03820632532557603,0.036459215875228206,0.03990515719238884,0.06774545520177229,0.04681632742832791,0.05426422380485117,0.05155987296842892
94,503134,508486,0.03702205495081617,0.034560806096332,0.04267446664604846,0.06488100266741612,0.04970308176335566,0.05665155374340083,0.05044843049327354
95,508486,513839,0.03651367838235965,0.03602925541735374,0.03985524514385053,0.06230328184950995,0.04680054980858415,0.051197500907475296,0.050812628432654584
96,513839,519191,0.03569829944588489,0.027840876640803557,0.03739677868745896,0.06733697339546828,0.050503614706156344,0.058295435285549466,0.04745889387144993
97,519191,524544,0.035010092343202875,0.03221564547927542,0.039807879796861935,0.06980975015486098,0.052094328992585155,0.060189869253210015,0.047450028021670095
98,524544,529896,0.03647341348581875,0.03317623460419964,0.037990188797054375,0.07165204111508708,0.05335077385238274,0.061632825748959834,0.04484304932735426
99,529896,535249,0.03637769384190777,0.029931853140583352,0.04019658483102868,0.06358473404599882,0.04805185516160956,0.05432355037451224,0.04819727255744442
