experiment,display_name,ablation_mode,chunk_t,mean_pred_l1_delta
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,23,0.5785050988197327
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,24,0.581516683101654
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,25,0.5805150866508484
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,26,0.5793172717094421
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,27,0.5855371952056885
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,28,0.5940552353858948
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,29,0.6045964360237122
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,30,0.6112911701202393
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,31,0.6122046709060669
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,32,0.6028938889503479
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,33,0.589835524559021
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,34,0.5771623849868774
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,35,0.5646905303001404
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,36,0.5502725839614868
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,37,0.5435577034950256
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,38,0.5372135639190674
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,39,0.5268383026123047
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,40,0.5233073830604553
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,41,0.5103193521499634
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,42,0.5146468877792358
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,43,0.5222129821777344
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,44,0.5256869196891785
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,45,0.5315693020820618
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,46,0.5336675643920898
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,47,0.5328227281570435
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,48,0.5317127704620361
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,49,0.5378192663192749
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,50,0.5469174385070801
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,51,0.5525656342506409
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,52,0.5557464361190796
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,53,0.5736418962478638
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,54,0.5852574706077576
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,55,0.5831401944160461
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,56,0.60528963804245
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,57,0.6034291386604309
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,58,0.6120398044586182
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,59,0.6320075988769531
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,60,0.6364496946334839
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,61,0.6512278318405151
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,62,0.6588404178619385
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,63,0.6442251801490784
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,64,0.6485211849212646
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,65,0.43420669436454773
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,66,0.4049419164657593
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,67,0.4142463207244873
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,68,0.4305800795555115
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,69,0.44382554292678833
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,70,0.4942430853843689
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,71,0.4215771555900574
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,72,0.42623820900917053
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,73,0.4424313008785248
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,74,0.49879392981529236
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,75,0.44138774275779724
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,76,0.39849966764450073
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,77,0.3909163773059845
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,78,0.4365474283695221
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,79,0.5087448954582214
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,80,0.4575127959251404
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,81,0.4390600919723511
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,82,0.44780993461608887
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,83,0.4955581724643707
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,84,0.508764922618866
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,85,0.3975709080696106
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,86,0.3704383671283722
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,87,0.4412904977798462
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,88,0.4108027219772339
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,89,0.41557174921035767
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,90,0.4165935516357422
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,91,0.43104106187820435
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,92,0.42100757360458374
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,93,0.44963589310646057
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,94,0.40127313137054443
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,95,0.43913981318473816
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,96,0.4447670578956604
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,97,0.40673020482063293
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,98,0.4252510368824005
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,99,0.44852492213249207
act_lang_ABC_200k,ACT-Lang-ABC 200k,wrong_language,0,0.5716795921325684
act_lang_ABC_200k,ACT-Lang-ABC 200k,wrong_language,1,0.5891600251197815
